Bitrate(kbps),Base_PSNR,DWT_PSNR,Prop_PSNR,Base_SSIM,DWT_SSIM,Prop_SSIM,Base_VMAF,DWT_VMAF,Prop_VMAF,Base_MSSSIM,DWT_MSSSIM,Prop_MSSSIM,Base_EPSNR,DWT_EPSNR,Prop_EPSNR,Base_PSNRB,DWT_PSNRB,Prop_PSNRB,Base_GBIM,DWT_GBIM,Prop_GBIM,Base_MEPR,DWT_MEPR,Prop_MEPR
100,29.470229,29.346764,29.403101,0.834426,0.829397,0.832943,54.070915,49.860026,52.794704,0.930488,0.924563,0.928872,22.288581371023934,22.195382972984564,22.160503802610172,27.107653546454635,27.088020306871066,26.997163169706827,4.120155937139949,4.0237891879061936,4.125087677718492,0.731556615263702,0.6680009774553146,0.7278641784297181
200,33.186638,32.546331,32.982724,0.906194,0.894339,0.903641,81.018216,74.104683,79.1926,0.973727,0.966744,0.972052,26.439588123301572,25.765606497901093,26.221612116807858,30.99901918246117,30.563233514690445,30.84310930028325,4.589427618166716,4.3473858952201985,4.571957885191897,0.8095772395087756,0.7148851401859352,0.809366864418644
300,35.118178,34.066082,34.829323,0.93164,0.917433,0.929417,89.128374,81.360376,87.336571,0.984073,0.977233,0.982753,28.82317148827331,27.678353079496425,28.6446089138932,33.01366325793403,32.2237168249919,32.88832811977508,4.835809416143718,4.541898363130193,4.830445551165028,0.849189229633864,0.7325676911115692,0.8464402065213211
400,36.44204,34.942709,36.048746,0.945044,0.928841,0.942667,92.970738,84.304807,91.042891,0.988612,0.981565,0.987353,30.592826261778928,28.8447712895026,30.212698672474428,34.47256848548216,33.194494732961154,34.19514708784686,5.0061879348579925,4.669921884613019,4.974317171577344,0.8741177215743262,0.7410477221510644,0.8671208491987648
500,37.407571,35.532642,36.933428,0.953434,0.935801,0.951033,94.896805,85.948343,93.067129,0.991075,0.983927,0.989873,31.82867148460532,29.569114524837996,31.425040643852185,35.49619178828318,33.80289984731981,35.19956595560141,5.123054700870835,4.786631822096939,5.108180811436625,0.8940469790370494,0.7493088111172649,0.8838163586643968
