Bitrate(kbps),Base_PSNR,DWT_PSNR,Prop_PSNR,Base_SSIM,DWT_SSIM,Prop_SSIM,Base_VMAF,DWT_VMAF,Prop_VMAF,Base_MSSSIM,DWT_MSSSIM,Prop_MSSSIM,Base_EPSNR,DWT_EPSNR,Prop_EPSNR,Base_PSNRB,DWT_PSNRB,Prop_PSNRB,Base_GBIM,DWT_GBIM,Prop_GBIM,Base_MEPR,DWT_MEPR,Prop_MEPR
100,29.137984,29.115718,29.245808,0.82062,0.821399,0.824934,50.495691,48.250396,50.902004,0.918273,0.918726,0.922294,21.905981570177605,21.963933288954703,21.8969687863918,26.63504573117409,26.755127684135168,26.697536832212414,4.126077502251195,4.094927741562916,4.0787726954623755,0.7357095750084238,0.691163562838484,0.7438300760109274
200,32.476073,32.163843,32.538351,0.892003,0.886163,0.893903,77.137458,72.451594,76.835525,0.966418,0.962894,0.967429,25.77564548913175,25.38181557289738,25.72109017653356,30.340959172448898,30.142347259159603,30.377252499127266,4.629008314037383,4.381365849105674,4.59705844959842,0.8390645992901471,0.7462789046404248,0.817641142291704
300,33.950724,33.34245,33.893422,0.914033,0.905207,0.915759,85.080613,78.913562,84.055326,0.976947,0.972999,0.977369,27.70783703342714,26.935421254802417,27.55605476820382,31.94589487337905,31.52126050017971,31.914486432998764,4.943116960021029,4.560916141621084,4.918791189161828,0.8951614250935296,0.77220271297624,0.8733721723625739
400,34.697947,33.960644,34.641789,0.922057,0.912513,0.924943,88.137637,81.720486,87.040276,0.980368,0.977027,0.980848,28.80840515356029,27.74179578651169,28.587451907830243,32.765053104453806,32.20016724703251,32.677755004099446,5.1873148148148145,4.663565160883476,5.132009695865075,0.9425521529495836,0.7886897279029716,0.9130436777775964
500,35.078879,34.346067,35.104723,0.924367,0.915672,0.929414,89.531337,83.267736,88.751901,0.981568,0.979132,0.982387,29.35774465443998,28.306342520448457,29.29595012905729,33.07045998192816,32.619720088058074,33.14446175326538,5.429758351440764,4.714404957660771,5.334960614589975,0.9752677833695368,0.7978351969911257,0.9415168860185362
