Bitrate(kbps),Base_PSNR,DWT_PSNR,Prop_PSNR,Base_SSIM,DWT_SSIM,Prop_SSIM,Base_VMAF,DWT_VMAF,Prop_VMAF,Base_MSSSIM,DWT_MSSSIM,Prop_MSSSIM,Base_EPSNR,DWT_EPSNR,Prop_EPSNR,Base_PSNRB,DWT_PSNRB,Prop_PSNRB,Base_GBIM,DWT_GBIM,Prop_GBIM,Base_MEPR,DWT_MEPR,Prop_MEPR
100,29.470229,29.346764,29.283373,0.834426,0.829397,0.82769,54.070915,49.860026,51.632366,0.930488,0.924563,0.924707,22.288581371023934,22.195382972984564,22.32574030075103,27.107653546454635,27.088020306871066,27.143814425040382,4.120155937139949,4.0237891879061936,4.133960079407027,0.731556615263702,0.6680009774553146,0.723584765320739
200,33.186638,32.546331,32.906501,0.906194,0.894339,0.901639,81.018216,74.104683,79.115313,0.973727,0.966744,0.971289,26.439588123301572,25.765606497901093,26.280039197991975,30.99901918246117,30.563233514690445,30.884348127721633,4.589427618166716,4.3473858952201985,4.584805715656007,0.8095772395087756,0.7148851401859352,0.8038488453434122
300,35.118178,34.066082,34.774915,0.93164,0.917433,0.928219,89.128374,81.360376,87.322694,0.984073,0.977233,0.98245,28.82317148827331,27.678353079496425,28.667200519674665,33.01366325793403,32.2237168249919,32.910529684775184,4.835809416143718,4.541898363130193,4.803748711855542,0.849189229633864,0.7325676911115692,0.8403207165366308
400,36.44204,34.942709,36.01156,0.945044,0.928841,0.942099,92.970738,84.304807,91.155263,0.988612,0.981565,0.987267,30.592826261778928,28.8447712895026,30.23994776240439,34.47256848548216,33.194494732961154,34.213319166828924,5.0061879348579925,4.669921884613019,4.971803075396825,0.8741177215743262,0.7410477221510644,0.8606571112449148
500,37.407571,35.532642,36.899104,0.953434,0.935801,0.950662,94.896805,85.948343,93.127712,0.991075,0.983927,0.989833,31.82867148460532,29.569114524837996,31.414819845809745,35.49619178828318,33.80289984731981,35.172155440264035,5.123054700870835,4.786631822096939,5.097421339292706,0.8940469790370494,0.7493088111172649,0.8760629658321305
