stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,15,stefan,,26.412256,0.798054,nan,nan,23.58512751141581,18.735878455563043,27.081671930562642,0.5486527834447129
pre_x264,hqdn3d,,,15,stefan,,26.433021,0.796611,nan,nan,23.588651099160536,18.776427224239914,26.780095774049634,0.5525715665837355
pre_x264,dwt,,,15,stefan,,28.27144,0.839068,nan,nan,24.549921487054714,21.375591280401192,22.939292869806724,0.6876735280067641
pre_x264,gaussian,,,15,stefan,,23.682771,0.788888,nan,nan,17.071232092705053,20.95576398221211,5.693075310037018,0.6538748411005106
pre_x264,prop,,,15,stefan,,29.460239,0.863628,nan,nan,25.4794744493476,25.98194920355613,18.192803472019715,0.6999968144514555
post_x264,base,100,112.139,15,stefan,,23.215686,0.728976,nan,nan,16.972358454913604,20.38538149725674,9.567634250230858,0.6901524494352627
post_x264,base,200,218.4,15,stefan,,25.716339,0.823028,nan,nan,20.08003906328219,23.374320811897853,13.311020697147901,0.9155202626023239
post_x264,base,300,321.247,15,stefan,,26.683034,0.837801,nan,nan,21.343468780191564,24.281664471922692,15.114790888283393,0.9402434596514022
post_x264,base,400,422.61,15,stefan,,27.086482,0.833807,nan,nan,21.958878393279942,24.601348666368867,16.271208183731865,0.8745045510376871
post_x264,base,500,523.376,15,stefan,,27.276454,0.826167,nan,nan,22.36328664635624,24.61339078034175,17.230146503122644,0.8231616940504354
post_x264,nr,100,112.022,15,stefan,,23.226847,0.730023,nan,nan,16.98119875133803,20.38218232879321,9.692138664360122,0.6894898661172633
post_x264,nr,200,218.441,15,stefan,,25.708784,0.822415,nan,nan,20.1360890225166,23.408909121257306,13.221145746002525,0.9163589683472589
post_x264,nr,300,320.955,15,stefan,,26.681602,0.837975,nan,nan,21.33114595823404,24.263469626698324,15.181582153228357,0.9374694606836712
post_x264,nr,400,421.806,15,stefan,,27.097279,0.834189,nan,nan,21.963315234200497,24.598178337377092,16.31827194737066,0.8752281852417536
post_x264,nr,500,522.861,15,stefan,,27.28051,0.825598,nan,nan,22.338802651084034,24.57727678288853,17.284431487843552,0.8218964287612689
post_x264,hqdn3d,100,111.811,15,stefan,,23.22321,0.730506,nan,nan,16.95738873959319,20.363460410922144,9.634432613018722,0.7006791486185105
post_x264,hqdn3d,200,218.458,15,stefan,,25.730313,0.822488,nan,nan,20.159753972724914,23.43610089172741,13.3826117467275,0.9232993007196648
post_x264,hqdn3d,300,320.503,15,stefan,,26.671419,0.836333,nan,nan,21.384238050285653,24.30840795337231,15.163722307274835,0.9408120078451389
post_x264,hqdn3d,400,421.544,15,stefan,,27.083331,0.83323,nan,nan,21.933452719908722,24.58812429654324,16.25890155565276,0.8772483748669737
post_x264,hqdn3d,500,522.498,15,stefan,,27.283926,0.825321,nan,nan,22.35141964753584,24.633910860598295,17.248912029021167,0.824101418402648
post_x264,dwt,100,110.654,15,stefan,,23.250625,0.729246,nan,nan,16.960999760428198,20.41546963805376,8.954735067444695,0.6341724257076304
post_x264,dwt,200,217.175,15,stefan,,25.86991,0.831152,nan,nan,20.133839724116896,23.54935544224645,12.175427051438602,0.8256235134347801
post_x264,dwt,300,320.38,15,stefan,,27.021415,0.856174,nan,nan,21.59118558828197,24.813053603203112,13.4576439730606,0.8999868702952454
post_x264,dwt,400,421.883,15,stefan,,27.616865,0.863304,nan,nan,22.282910391310164,25.318295267901355,14.428591098434222,0.9220098395242685
post_x264,dwt,500,523.143,15,stefan,,27.963703,0.863361,nan,nan,22.780819991512608,25.682450927660305,15.085048128133785,0.9185124973940832
post_x264,gaussian,100,111.757,15,stefan,,22.299105,0.676666,nan,nan,15.960396788283335,19.549484926802627,4.515644788654386,0.42357908635834185
post_x264,gaussian,200,215.121,15,stefan,,22.993964,0.726893,nan,nan,16.59614162585596,20.38535155447319,5.122943362048714,0.5044910414222948
post_x264,gaussian,300,317.044,15,stefan,,23.220337,0.743535,nan,nan,16.774829360394612,20.609080217600045,5.28914942199663,0.5504240445255038
post_x264,gaussian,400,418.097,15,stefan,,23.349272,0.753655,nan,nan,16.87724119059063,20.738591638978296,5.380657325054879,0.580559550696093
post_x264,gaussian,500,519.811,15,stefan,,23.429781,0.760055,nan,nan,16.935159845577935,20.81088178389861,5.450644879782184,0.6024846092757576
post_x264,prop,100,111.271,15,stefan,,23.2551,0.733454,nan,nan,17.029620819853644,20.48079901487433,9.131754865718127,0.6574871515001087
post_x264,prop,200,218.26,15,stefan,,25.685585,0.826796,nan,nan,19.884128084481233,23.30697603184415,12.069920977011492,0.8445791733198134
post_x264,prop,300,320.496,15,stefan,,26.703502,0.847062,nan,nan,21.17879600137835,24.38878689980663,13.280904748416406,0.9344462009010892
post_x264,prop,400,421.95,15,stefan,,27.24141,0.85176,nan,nan,21.864888139759007,24.932528903466356,14.078355159706529,0.9458329145969981
post_x264,prop,500,525.086,15,stefan,,27.575278,0.850483,nan,nan,22.30775522564494,25.194336784902415,14.569797597567495,0.9156279161085484
