Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,bd_rate_psnr,mean_delta_psnr,low_bitrate_delta_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,bd_rate_msssim,mean_delta_msssim,low_bitrate_delta_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,bd_rate_psnrb,mean_delta_psnrb,low_bitrate_delta_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,bd_rate_epsnr,mean_delta_epsnr,low_bitrate_delta_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,bd_rate_ssim,mean_delta_ssim,low_bitrate_delta_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,bd_rate_gbim,mean_delta_gbim,low_bitrate_delta_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,bd_rate_mepr,mean_delta_mepr,low_bitrate_delta_mepr,win_rate_mepr,pre_delta_vmaf,post_delta_vmaf,codec_gain_vmaf,bd_rate_vmaf,mean_delta_vmaf,low_bitrate_delta_vmaf,win_rate_vmaf
akiyo,0,nr,nan,-0.07863779999999991,nan,1.0277403849908273,-0.07863779999999991,-0.039838333333333274,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.02302891803379765,nan,-0.3713294906060316,-0.02302891803379765,-0.0398938819457797,0.2,nan,-0.05147834195782508,nan,0.2113277782670675,-0.05147834195782508,-0.022512933969065802,0.2,nan,-0.0002528000000000086,nan,1.2312588727379392,-0.0002528000000000086,-0.00019100000000001524,0.0,nan,0.00719105821504078,nan,,0.00719105821504078,0.006174051911696991,0.6,nan,-0.0025283056445739582,nan,2.873355796955268,-0.0025283056445739582,-0.0030857055546009335,0.0,nan,nan,nan,nan,nan,nan,nan
akiyo,0,hqdn3d,nan,-0.5576233999999985,nan,10.102495062034178,-0.5576233999999985,-0.34896866666666665,0.0,nan,nan,nan,nan,nan,nan,nan,-102.22284063391709,-0.25065893314864096,101.97218170076845,3.8748964093088922,-0.25065893314864096,-0.1662562806103741,0.0,-102.06204201274068,-0.016672163642473238,102.04536984909821,-0.6873755941658177,-0.016672163642473238,0.019736959425734096,0.4,-0.00756699999999999,-0.002367800000000009,0.005199199999999982,17.041191826100576,-0.002367800000000009,-0.001967000000000015,0.0,0.530926868001723,0.1091453285624798,-0.4217815394392431,,0.1091453285624798,0.048230652897561864,1.0,-0.35696780810691264,-0.054656461465601526,0.3023113466413111,89.87662332543123,-0.054656461465601526,-0.03820038249446097,0.0,nan,nan,nan,nan,nan,nan,nan
akiyo,0,dwt,nan,-2.378529799999997,nan,53.260430607171386,-2.378529799999997,-1.553307666666664,0.0,nan,nan,nan,nan,nan,nan,nan,-113.8941312070997,-4.1621043406119655,109.73202686648774,183.22156785564854,-4.1621043406119655,-2.2960008602965467,0.0,-112.89010552724085,-2.8305924030091107,110.05951312423174,40.749199117079016,-2.8305924030091107,-1.6454931338143222,0.0,-0.012850999999999946,-0.004633000000000021,0.008217999999999925,32.18564240593314,-0.004633000000000021,-0.0033206666666667126,0.0,-0.7123972560600453,-0.237515234012327,0.47488202204771834,,-0.237515234012327,-0.14374449611004816,0.0,-0.4428770649283431,-0.12654574581244854,0.31633131911589457,nan,-0.12654574581244854,-0.1050798569548053,0.0,nan,nan,nan,nan,nan,nan,nan
akiyo,0,gaussian,nan,-10.5077608,nan,nan,-10.5077608,-9.092084,0.0,nan,nan,nan,nan,nan,nan,nan,-117.79806714549886,-9.352446856299371,108.4456202891995,nan,-9.352446856299371,-7.807836305381708,0.0,-124.13162286317139,-11.911703100818634,112.21991976235276,nan,-11.911703100818634,-9.762526571935046,0.0,-0.04568700000000003,-0.03562820000000002,0.010058800000000014,nan,-0.03562820000000002,-0.03382200000000005,0.0,1.8969177622011921,1.3678969152348515,-0.5290208469663407,,1.3678969152348515,1.2841047704807393,1.0,-0.5290966150126573,-0.29433438322717664,0.2347622317854806,nan,-0.29433438322717664,-0.26919144581668847,0.0,nan,nan,nan,nan,nan,nan,nan
akiyo,0,prop,nan,-0.2005421999999996,nan,3.66481625338293,-0.2005421999999996,-0.13283166666666565,0.0,nan,nan,nan,nan,nan,nan,nan,-98.66369548068417,-0.09374634846213467,98.56994913222204,1.1602137021242243,-0.09374634846213467,-0.12117275994935757,0.2,-98.62092400157287,-0.07370289935846586,98.54722110221441,0.4354206810100125,-0.07370289935846586,-0.07599619932937192,0.0,-0.001711000000000018,-0.00015239999999998587,0.0015586000000000321,1.135361288317971,-0.00015239999999998587,-0.0001443333333333389,0.0,0.13893692601541474,0.03437838867635383,-0.10455853733906091,,0.03437838867635383,0.025870286358416223,1.0,-0.09496752804113451,-0.019352910485584473,0.07561461755555003,20.046635564815475,-0.019352910485584473,-0.014166058853531912,0.0,nan,nan,nan,nan,nan,nan,nan
akiyo,5,nr,nan,0.005658400000001507,nan,-3.231651166077698,0.005658400000001507,0.006761000000002089,0.8,nan,nan,nan,nan,nan,nan,nan,nan,0.012502973508348702,nan,-51.13601132074997,0.012502973508348702,0.012178183118895921,0.6,nan,0.015413266445581542,nan,-1.9825506582279218,0.015413266445581542,0.018412303177665734,0.8,nan,-9.999999999843468e-07,nan,-1.1722728213092504,-9.999999999843468e-07,-3.366666666663557e-05,0.4,nan,-0.007626115110126364,nan,,-0.007626115110126364,-0.01178687600441434,0.4,nan,0.004870141585267973,nan,1.8819597110551367,0.004870141585267973,0.007951500324211954,0.8,nan,nan,nan,nan,nan,nan,nan
akiyo,5,hqdn3d,0.8580650000000034,0.3376024000000001,-0.5204626000000033,0.7235976037002434,0.3376024000000001,0.23842299999999975,1.0,nan,nan,nan,nan,nan,nan,nan,1.0903114340065656,0.3762001006570074,-0.7141113333495582,10695.322985596287,0.3762001006570074,0.23644804609289594,1.0,0.36609877499709853,0.30809173530537065,-0.05800703969172788,-9.947496271367328,0.30809173530537065,0.23398205417329265,1.0,0.019560000000000022,0.003726200000000035,-0.015833799999999988,34.23867756017742,0.003726200000000035,0.0022170000000000614,1.0,1.143493620801035,0.06525113119008497,-1.07824248961095,,0.06525113119008497,0.024887475250847668,1.0,0.02507215874706667,0.03307494929792119,0.008002790550854517,18.833418892255203,0.03307494929792119,0.03053689803405864,0.8,nan,nan,nan,nan,nan,nan,nan
akiyo,5,dwt,4.242761000000002,1.1242875999999995,-3.118473400000002,-36.98252454855516,1.1242875999999995,0.8089486666666659,1.0,nan,nan,nan,nan,nan,nan,nan,3.7873401718406434,0.31306924680653053,-3.474270925034113,161393.59836019672,0.31306924680653053,0.35127931067713075,1.0,0.9081720542659326,0.5670767901419154,-0.34109526412401725,-14.706161909376847,0.5670767901419154,0.3610920923093808,0.8,0.08796599999999999,0.01562220000000003,-0.07234379999999996,nan,0.01562220000000003,0.011021666666666707,1.0,2.574826703496763,0.10162320219078973,-2.473203501305973,,0.10162320219078973,0.02820463307866457,1.0,0.3730131511072813,0.13470531370813701,-0.23830783739914427,84.81395081425707,0.13470531370813701,0.039339855396607816,0.8,nan,nan,nan,nan,nan,nan,nan
akiyo,5,gaussian,-2.676961999999996,-5.4281843999999975,-2.7512224000000014,nan,-5.4281843999999975,-5.339040333333332,0.0,nan,nan,nan,nan,nan,nan,nan,2.005411636348896,-5.2803406281360346,-7.28575226448493,nan,-5.2803406281360346,-5.117541308218581,0.0,-8.912775560476994,-7.312454156162805,1.6003214043141893,nan,-7.312454156162805,-6.639545665107164,0.0,0.07211800000000002,-0.014734400000000014,-0.08685240000000002,nan,-0.014734400000000014,-0.020166333333333324,0.0,6.198712446306923,1.5454418950719826,-4.653270551234941,,1.5454418950719826,1.3770756201969867,1.0,0.367333561782541,0.18387762279083933,-0.18345593899170168,114.01799507360009,0.18387762279083933,0.08197965557113192,0.8,nan,nan,nan,nan,nan,nan,nan
akiyo,5,prop,4.589790999999998,1.4252443999999997,-3.1645465999999987,-45.83757246982923,1.4252443999999997,1.1690193333333336,1.0,nan,nan,nan,nan,nan,nan,nan,6.632957982903612,1.3641732422857316,-5.26878474061788,3429.2823064064037,1.3641732422857316,0.9873567176207653,1.0,4.142347698696611,1.371862157238077,-2.770485541458534,-27.539912983964843,1.371862157238077,1.0540569496690217,1.0,0.07917400000000008,0.013907400000000014,-0.06526660000000006,nan,0.013907400000000014,0.010683666666666683,1.0,2.965738320007943,0.08291569347964733,-2.8828226265282955,,0.08291569347964733,0.062126028534701394,1.0,0.21948026532923265,0.19845773540367045,-0.021022529925562194,56.108624783821035,0.19845773540367045,0.14159397677484672,0.8,nan,nan,nan,nan,nan,nan,nan
