stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,5,stefan,,35.876827,0.942319,nan,nan,33.00391323282556,28.150050982806004,17.780657956621145,0.8016795979996688
pre_x264,hqdn3d,,,5,stefan,,36.22213,0.949101,nan,nan,33.020942395988484,28.820620469121597,17.024294649330113,0.8339988743910653
pre_x264,dwt,,,5,stefan,,34.908165,0.972385,nan,nan,29.788425040716774,32.383134493822034,15.794590294484541,0.844327038686178
pre_x264,gaussian,,,5,stefan,,23.805455,0.809273,nan,nan,17.122302341450514,21.079961673691017,5.243429370641055,0.5349250517501009
pre_x264,prop,,,5,stefan,,36.641126,0.958127,nan,nan,33.55915723910032,32.26777504576463,16.605963858715466,0.8446987022538672
post_x264,base,100,111.094,5,stefan,,23.449467,0.74782,nan,nan,17.215601116518144,20.727816036362167,9.502636925844246,0.6777816941962909
post_x264,base,200,218.73,5,stefan,,26.551501,0.855362,nan,nan,20.863373229360707,24.2846253438954,12.43248238955311,0.8477766462369382
post_x264,base,300,326.575,5,stefan,,28.399981,0.892214,nan,nan,23.030949568798558,26.307510045474736,13.444063770726512,0.909631722234929
post_x264,base,400,432.527,5,stefan,,29.641384,0.910621,nan,nan,24.51262964655261,27.693621109481384,13.938157097235385,0.9430663728363602
post_x264,base,500,536.813,5,stefan,,30.548388,0.921539,nan,nan,25.51386135066343,28.58127527619259,14.376710285240133,0.9719586103532959
post_x264,nr,100,111.029,5,stefan,,23.447589,0.748119,nan,nan,17.225270078817616,20.739315256394367,9.338594672668952,0.6640780718996037
post_x264,nr,200,218.634,5,stefan,,26.549037,0.854725,nan,nan,20.880544856655476,24.297817856650603,12.479371739649908,0.8486032728757821
post_x264,nr,300,326.525,5,stefan,,28.386642,0.891953,nan,nan,23.00464813590001,26.29251913359888,13.433051286471368,0.9084871971452974
post_x264,nr,400,432.493,5,stefan,,29.649812,0.910815,nan,nan,24.533232616739074,27.712914099015666,13.938819645684996,0.9436436752877214
post_x264,nr,500,536.858,5,stefan,,30.543514,0.921605,nan,nan,25.491963181069,28.567142863229392,14.363634719539016,0.9698157146908073
post_x264,hqdn3d,100,111.037,5,stefan,,23.448885,0.748508,nan,nan,17.13837660564928,20.650862587582306,9.232078925026123,0.6633819676546882
post_x264,hqdn3d,200,218.48,5,stefan,,26.545413,0.854257,nan,nan,20.861599040828267,24.278508487781682,12.344277609697619,0.8429412325596333
post_x264,hqdn3d,300,326.243,5,stefan,,28.400775,0.891659,nan,nan,23.05819149972701,26.332356202651294,13.412334744801663,0.9060451424069474
post_x264,hqdn3d,400,433.055,5,stefan,,29.666957,0.910027,nan,nan,24.564102986435785,27.745898408516616,13.938211217021863,0.9398142447984541
post_x264,hqdn3d,500,537.802,5,stefan,,30.601486,0.921451,nan,nan,25.576564598071176,28.6521330446402,14.276740329568744,0.9647264032790954
post_x264,dwt,100,110.134,5,stefan,,23.421206,0.745052,nan,nan,17.205383403481697,20.764998134875512,8.615769966606726,0.6111421521282352
post_x264,dwt,200,216.637,5,stefan,,26.445303,0.852908,nan,nan,20.674004284877448,24.18617679155694,11.412300651614379,0.7660107837080001
post_x264,dwt,300,323.099,5,stefan,,28.164214,0.88962,nan,nan,22.709860227075833,26.131918677317525,12.372114334503816,0.8128317900933116
post_x264,dwt,400,429.044,5,stefan,,29.323653,0.908932,nan,nan,24.071525269013407,27.37594492052323,12.926984615349566,0.8344288004943988
post_x264,dwt,500,533.351,5,stefan,,30.165194,0.920668,nan,nan,25.05185215142939,28.29635356692184,13.220478838606596,0.8480831094586608
post_x264,gaussian,100,111.507,5,stefan,,22.378518,0.683956,nan,nan,16.01857730738967,19.616910446533,4.44866956073364,0.4041215521404882
post_x264,gaussian,200,218.798,5,stefan,,23.207012,0.747536,nan,nan,16.70468165932409,20.5365977233525,5.035618000878878,0.45588156091765536
post_x264,gaussian,300,323.902,5,stefan,,23.455239,0.769035,nan,nan,16.919103965637813,20.809322919956635,5.193965872892923,0.4756238544621955
post_x264,gaussian,400,426.639,5,stefan,,23.565033,0.779632,nan,nan,17.008083059594494,20.925807495727113,5.255087257397551,0.48865078027003744
post_x264,gaussian,500,528.07,5,stefan,,23.628534,0.785888,nan,nan,17.048618728133018,20.980805031530412,5.301298798935627,0.496983758307246
post_x264,prop,100,110.924,5,stefan,,23.452087,0.749369,nan,nan,17.203368943539793,20.70652396294802,9.332657292907017,0.6665804701927942
post_x264,prop,200,218.936,5,stefan,,26.520419,0.855432,nan,nan,20.832288597703684,24.258876620690533,12.385703152211772,0.8445202668040724
post_x264,prop,300,327.096,5,stefan,,28.326877,0.892191,nan,nan,22.984882690670283,26.30758742464985,13.297806700728213,0.8979607836189187
post_x264,prop,400,433.378,5,stefan,,29.581226,0.911887,nan,nan,24.449013322748332,27.652123190804446,13.805369988983662,0.9346156699629435
post_x264,prop,500,538.031,5,stefan,,30.45751,0.922427,nan,nan,25.483017205296516,28.57915228131593,14.140185980443976,0.9572977833014269
