stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,10,akiyo,,29.881605,0.709468,nan,nan,26.93919812607084,22.2103431424224,14.47747388579874,0.062110061561883374
pre_x264,hqdn3d,,,10,akiyo,,30.023307,0.712646,nan,nan,27.028192824991205,22.39010535629034,13.874242340346992,0.06465071983692387
pre_x264,dwt,,,10,akiyo,,33.903563,0.837391,nan,nan,29.74925531623185,26.105324699207237,9.942645675679833,0.11749898752487424
pre_x264,gaussian,,,10,akiyo,,32.840631,0.929386,nan,nan,23.87466535226938,29.849987765741773,2.7294145164966386,0.2653270638717273
pre_x264,prop,,,10,akiyo,,36.758616,0.905436,nan,nan,32.55427525474377,32.263247320297424,6.346820578081479,0.24745317875708522
post_x264,base,100,102.118,10,akiyo,,35.06711,0.923774,nan,nan,26.868113299086858,31.80883992498121,3.737007201723771,0.7344510654055303
post_x264,base,200,203.464,10,akiyo,,35.36711,0.916337,nan,nan,28.25614890210525,32.607379861841046,4.139821874265915,0.4120533544949201
post_x264,base,300,303.725,10,akiyo,,35.244817,0.902743,nan,nan,28.914293760574928,32.21074875653827,4.736249428462364,0.2911565748460927
post_x264,base,400,405.538,10,akiyo,,34.852481,0.885991,nan,nan,29.04521908265007,31.26597066471756,5.447018380790183,0.2240940684221473
post_x264,base,500,506.861,10,akiyo,,34.524702,0.871692,nan,nan,29.103897928795707,30.21319460031221,5.995963446410395,0.18933542877563453
post_x264,nr,100,102.348,10,akiyo,,35.073587,0.923102,nan,nan,26.94220819830953,31.837739105569945,3.7768043792716766,0.7328322760817771
post_x264,nr,200,203.78,10,akiyo,,35.328913,0.915744,nan,nan,28.208609335108925,32.546124080655005,4.136553951404968,0.40917447388688327
post_x264,nr,300,303.527,10,akiyo,,35.244268,0.90309,nan,nan,28.90028319678435,32.227082518765805,4.723157867783595,0.2897885007023162
post_x264,nr,400,404.955,10,akiyo,,34.848685,0.885749,nan,nan,29.046501922705538,31.144970027351622,5.487572976791727,0.22233254623191467
post_x264,nr,500,506.5,10,akiyo,,34.542401,0.871887,nan,nan,29.121624901074085,30.34589346048401,5.985771044470173,0.19034318938809416
post_x264,hqdn3d,100,101.926,10,akiyo,,35.094708,0.923612,nan,nan,26.930237127763494,31.87698213254703,3.7470245243828093,0.7539658303056038
post_x264,hqdn3d,200,203.541,10,akiyo,,35.421972,0.916693,nan,nan,28.268564980334475,32.524509832479026,4.163292997108404,0.41008839648194734
post_x264,hqdn3d,300,304.026,10,akiyo,,35.268749,0.90364,nan,nan,28.86907886741766,32.063554684066204,4.749549187892211,0.2895134425155761
post_x264,hqdn3d,400,404.683,10,akiyo,,34.886615,0.886839,nan,nan,29.021639521112384,31.196571975919863,5.4444675576361625,0.22592544691003227
post_x264,hqdn3d,500,506.845,10,akiyo,,34.63023,0.874171,nan,nan,29.213077699133184,30.375359475134573,5.95080794273018,0.19287448786050337
post_x264,dwt,100,102.628,10,akiyo,,35.817565,0.93791,nan,nan,27.159099513293746,32.23861418352299,3.629740555122096,0.7904112476271792
post_x264,dwt,200,203.846,10,akiyo,,36.586671,0.939176,nan,nan,29.045198441134087,33.552207475310716,3.8684646034682375,0.6216187838808845
post_x264,dwt,300,304.446,10,akiyo,,36.857323,0.936382,nan,nan,29.790086680763256,33.72888285898804,4.089460132890365,0.4624188193315505
post_x264,dwt,400,405.891,10,akiyo,,36.910609,0.931514,nan,nan,30.3005705879062,33.606695659613294,4.384408199869683,0.39314180335081544
post_x264,dwt,500,506.005,10,akiyo,,36.899024,0.927292,nan,nan,30.666957259871488,33.37371164130688,4.647273003428527,0.35117461064105976
post_x264,gaussian,100,102.754,10,akiyo,,31.877435,0.915724,nan,nan,22.632747917290384,28.631468738406667,2.339252059982438,0.8206547710159504
post_x264,gaussian,200,203.795,10,akiyo,,32.255063,0.922766,nan,nan,23.188828102630623,29.264894711266454,2.36184925458908,0.6568491390808958
post_x264,gaussian,300,304.038,10,akiyo,,32.46916,0.925892,nan,nan,23.459720633214157,29.533321399768706,2.381496143956173,0.5234681255213769
post_x264,gaussian,400,404.6,10,akiyo,,32.585983,0.927217,nan,nan,23.56915538243118,29.645861006549598,2.387641977289506,0.4604643185163886
post_x264,gaussian,500,505.239,10,akiyo,,32.665395,0.928051,nan,nan,23.653786627131804,29.72036515356649,2.4314664851728804,0.41178170394226227
post_x264,prop,100,103.319,10,akiyo,,36.252242,0.945197,nan,nan,27.368540972097133,32.52988707014521,3.4865972362047946,0.7979048906732926
post_x264,prop,200,204.607,10,akiyo,,37.094034,0.946257,nan,nan,29.34909522169117,34.19253640609954,3.681913266804256,0.7548057809594836
post_x264,prop,300,306.059,10,akiyo,,37.346946,0.942961,nan,nan,30.097034628643954,34.563143149255545,3.902415810933253,0.6151911976475452
post_x264,prop,400,407.387,10,akiyo,,37.42104,0.939178,nan,nan,30.60489100638952,34.64508867894561,4.144418678059666,0.525332091874771
post_x264,prop,500,507.489,10,akiyo,,37.444215,0.935421,nan,nan,30.938735220960442,34.585324831480456,4.379060797621845,0.46564144558163917
