stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,0,foreman,,nan,1.0,nan,nan,148.13080360867914,148.13080360867914,5.924000329988702,0.9999999999839427
pre_x264,hqdn3d,,,0,foreman,,46.985567,0.990071,nan,nan,46.210759883429176,44.31931504751844,5.176953410768817,0.8656443649203878
pre_x264,dwt,,,0,foreman,,38.393707,0.970839,nan,nan,31.932356324398892,32.891394249058436,6.519310229230288,0.7071131708434646
pre_x264,gaussian,,,0,foreman,,29.921956,0.910187,nan,nan,22.53070650769329,27.750927322858665,3.2514474793617234,0.6489117825894666
pre_x264,prop,,,0,foreman,,50.877839,0.99867,nan,nan,49.386731385588625,49.39445793108852,5.704025374523194,0.9616612712881601
post_x264,base,100,98.865,0,foreman,,29.470229,0.834426,nan,nan,22.288581371023934,27.107653546454635,4.120155937139949,0.731556615263702
post_x264,base,200,198.284,0,foreman,,33.186638,0.906194,nan,nan,26.439588123301572,30.99901918246117,4.589427618166716,0.8095772395087756
post_x264,base,300,305.492,0,foreman,,35.118178,0.93164,nan,nan,28.82317148827331,33.01366325793403,4.835809416143718,0.849189229633864
post_x264,base,400,413.891,0,foreman,,36.44204,0.945044,nan,nan,30.592826261778928,34.47256848548216,5.0061879348579925,0.8741177215743262
post_x264,base,500,523.289,0,foreman,,37.407571,0.953434,nan,nan,31.82867148460532,35.49619178828318,5.123054700870835,0.8940469790370494
post_x264,nr,100,98.622,0,foreman,,29.464296,0.83366,nan,nan,22.323658514894866,27.128896704724898,4.140902417726545,0.7313573735202087
post_x264,nr,200,198.332,0,foreman,,33.150556,0.905643,nan,nan,26.45529379587629,30.98770423072388,4.61434983137018,0.812373473060782
post_x264,nr,300,305.249,0,foreman,,35.100517,0.931606,nan,nan,28.830639256147418,33.013055661194706,4.841560159666989,0.8484026045033338
post_x264,nr,400,413.603,0,foreman,,36.422795,0.945079,nan,nan,30.5707210541214,34.45200380517609,4.999624674555634,0.8747691247051421
post_x264,nr,500,522.251,0,foreman,,37.390624,0.953345,nan,nan,31.821823842978784,35.486230907777106,5.126859696074813,0.893606500668545
post_x264,hqdn3d,100,98.722,0,foreman,,29.442859,0.833404,nan,nan,22.397820287075014,27.18281766560624,4.065565121382709,0.7216461623135555
post_x264,hqdn3d,200,197.827,0,foreman,,33.102177,0.903987,nan,nan,26.481587296935135,30.999024581783846,4.533165212129602,0.7925519130001292
post_x264,hqdn3d,300,304.732,0,foreman,,35.024343,0.929198,nan,nan,28.93001965741951,33.013444616035976,4.75448899816269,0.8284286029313543
post_x264,hqdn3d,400,412.899,0,foreman,,36.315147,0.942029,nan,nan,30.646806289250986,34.399214288978264,4.889541301721533,0.8483337179732637
post_x264,hqdn3d,500,523.384,0,foreman,,37.268785,0.950097,nan,nan,31.959284195532543,35.41038571927549,4.991674869193038,0.8636602056449887
post_x264,dwt,100,97.662,0,foreman,,29.346764,0.829397,nan,nan,22.195382972984564,27.088020306871066,4.0237891879061936,0.6680009774553146
post_x264,dwt,200,195.928,0,foreman,,32.546331,0.894339,nan,nan,25.765606497901093,30.563233514690445,4.3473858952201985,0.7148851401859352
post_x264,dwt,300,299.439,0,foreman,,34.066082,0.917433,nan,nan,27.678353079496425,32.2237168249919,4.541898363130193,0.7325676911115692
post_x264,dwt,400,404.705,0,foreman,,34.942709,0.928841,nan,nan,28.8447712895026,33.194494732961154,4.669921884613019,0.7410477221510644
post_x264,dwt,500,510.435,0,foreman,,35.532642,0.935801,nan,nan,29.569114524837996,33.80289984731981,4.786631822096939,0.7493088111172649
post_x264,gaussian,100,98.716,0,foreman,,27.829416,0.813895,nan,nan,20.638473499034387,25.42101019829992,3.1374194219325036,0.6238778116987271
post_x264,gaussian,200,194.157,0,foreman,,29.040174,0.860011,nan,nan,21.725556711253265,26.775568810355068,3.172691290325738,0.627566409128325
post_x264,gaussian,300,293.488,0,foreman,,29.396103,0.876338,nan,nan,22.054415363695988,27.159381881788892,3.2244544000357953,0.6342086385409517
post_x264,gaussian,400,395.21,0,foreman,,29.562288,0.885037,nan,nan,22.20263251431987,27.341275832295818,3.2726869976760966,0.6415229324481581
post_x264,gaussian,500,498.602,0,foreman,,29.655231,0.890281,nan,nan,22.29499627017142,27.45679951434956,3.313953892118863,0.6462045181607452
post_x264,prop,100,98.471,0,foreman,,29.491082,0.833884,nan,nan,22.350653966032464,27.16724952256326,4.135640627272168,0.7271377865655456
post_x264,prop,200,198.184,0,foreman,,33.145693,0.905541,nan,nan,26.378403296052138,30.97490723323046,4.561983892776044,0.8003385662001532
post_x264,prop,300,304.871,0,foreman,,35.048956,0.931063,nan,nan,28.799595210471036,33.015378915696544,4.789365874623869,0.8408885097892819
post_x264,prop,400,413.969,0,foreman,,36.351691,0.944602,nan,nan,30.571132466340075,34.45033578188993,4.970228228785641,0.8684982884684018
post_x264,prop,500,523.661,0,foreman,,37.291907,0.952883,nan,nan,31.7773304930661,35.43327339691499,5.078630684964261,0.884499755562234
